id,identifier,species_id,height,weight,base_experience,order,is_default
1,bulbasaur,1,7,69,64,1,1
2,ivysaur,2,10,130,142,2,1
3,venusaur,3,20,1000,236,3,1
4,charmander,4,6,85,62,5,1
5,charmeleon,5,11,190,142,6,1
6,charizard,6,17,905,240,7,1
7,squirtle,7,5,90,63,10,1
8,wartortle,8,10,225,142,11,1
9,blastoise,9,16,855,239,12,1
10,caterpie,10,3,29,39,14,1
11,metapod,11,7,99,72,15,1
12,butterfree,12,11,320,173,16,1
13,weedle,13,3,32,39,17,1
14,kakuna,14,6,100,72,18,1
15,beedrill,15,10,295,173,19,1
16,pidgey,16,3,18,50,20,1
17,pidgeotto,17,11,300,122,21,1
18,pidgeot,18,15,395,211,22,1
19,rattata,19,3,35,51,23,1
20,raticate,20,7,185,145,24,1
21,spearow,21,3,20,52,25,1
22,fearow,22,12,380,155,26,1
23,ekans,23,20,69,58,27,1
24,arbok,24,35,650,153,28,1
25,pikachu,25,4,60,105,30,1
26,raichu,26,8,300,214,31,1
27,sandshrew,27,6,120,60,32,1
28,sandslash,28,10,295,158,33,1
29,nidoran-f,29,4,70,55,34,1
30,nidorina,30,8,200,128,35,1
31,nidoqueen,31,13,600,223,36,1
32,nidoran-m,32,5,90,55,37,1
33,nidorino,33,9,195,128,38,1
34,nidoking,34,14,620,223,39,1
35,clefairy,35,6,75,113,41,1
36,clefable,36,13,400,213,42,1
37,vulpix,37,6,99,60,43,1
38,ninetales,38,11,199,177,44,1
39,jigglypuff,39,5,55,95,46,1
40,wigglytuff,40,10,120,191,47,1
41,zubat,41,8,75,49,48,1
42,golbat,42,16,550,159,49,1
43,oddish,43,5,54,64,51,1
44,gloom,44,8,86,138,52,1
45,vileplume,45,12,186,216,53,1
46,paras,46,3,54,57,55,1
47,parasect,47,10,295,142,56,1
48,venonat,48,10,300,61,57,1
49,venomoth,49,15,125,158,58,1
50,diglett,50,2,8,53,59,1
51,dugtrio,51,7,333,142,60,1
52,meowth,52,4,42,58,61,1
53,persian,53,10,320,154,62,1
54,psyduck,54,8,196,64,63,1
55,golduck,55,17,766,175,64,1
56,mankey,56,5,280,61,65,1
57,primeape,57,10,320,159,66,1
58,growlithe,58,7,190,70,67,1
59,arcanine,59,19,1550,194,68,1
60,poliwag,60,6,124,60,69,1
61,poliwhirl,61,10,200,135,70,1
62,poliwrath,62,13,540,225,71,1
63,abra,63,9,195,62,73,1
64,kadabra,64,13,565,140,74,1
65,alakazam,65,15,480,221,75,1
66,machop,66,8,195,61,77,1
67,machoke,67,15,705,142,78,1
68,machamp,68,16,1300,227,79,1
69,bellsprout,69,7,40,60,80,1
70,weepinbell,70,10,64,137,81,1
71,victreebel,71,17,155,216,82,1
72,tentacool,72,9,455,67,83,1
73,tentacruel,73,16,550,180,84,1
74,geodude,74,4,200,60,85,1
75,graveler,75,10,1050,137,86,1
76,golem,76,14,3000,218,87,1
77,ponyta,77,10,300,82,88,1
78,rapidash,78,17,950,175,89,1
79,slowpoke,79,12,360,63,90,1
80,slowbro,80,16,785,172,91,1
81,magnemite,81,3,60,65,93,1
82,magneton,82,10,600,163,94,1
83,farfetchd,83,8,150,123,96,1
84,doduo,84,14,392,62,97,1
85,dodrio,85,18,852,161,98,1
86,seel,86,11,900,65,99,1
87,dewgong,87,17,1200,166,100,1
88,grimer,88,9,300,65,101,1
89,muk,89,12,300,175,102,1
90,shellder,90,3,40,61,103,1
91,cloyster,91,15,1325,184,104,1
92,gastly,92,13,1,62,105,1
93,haunter,93,16,1,142,106,1
94,gengar,94,15,405,225,107,1
95,onix,95,88,2100,77,109,1
96,drowzee,96,10,324,66,111,1
97,hypno,97,16,756,169,112,1
98,krabby,98,4,65,65,113,1
99,kingler,99,13,600,166,114,1
100,voltorb,100,5,104,66,115,1
